"","x"
"1",-12.1647781706685
"2",-9.98856034568891
"3",-13.8404178201221
"4",-13.4313531070703
"5",-11.8975108743503
"6",-9.41554315927822
"7",-10.5747489009003
"8",-8.11085698996678
"9",-10.1749549324939
"10",-12.1188356243718
"11",-11.6492995572259
"12",-11.1413807887012
"13",-14.7223911654075
"14",-13.4896326525173
"15",-16.4278892407308
"16",-16.5572625936307
"17",-14.7855880805075
"18",-12.5398487840187
"19",-14.5689669091079
"20",-11.4826775062625
"21",-13.170459489452
"22",-15.1348696176385
"23",-14.2003467395379
"24",-16.0420892675779
"25",-19.5799344010977
"26",-18.2967051435222
"27",-20.0941659158649
"28",-20.8477723322921
"29",-18.5653538503889
"30",-16.8367241073924
"31",-17.5891855259904
"32",-16.1836748322233
"33",-17.6800601008784
"34",-19.7439763990102
"35",-18.6283003814897
"36",-18.8553414964096
"37",-24.0659816420111
"38",-22.6654466922868
"39",-25.3970251696153
"40",-23.3770581712668
"41",-21.1311662432752
"42",-17.8721689820664
"43",-20.9369265000355
"44",-19.6048341876016
"45",-21.9842502794496
"46",-22.4955827528898
"47",-21.082789411102
"48",-21.2587686018462
"49",-28.1025450518455
"50",-26.4729633903532
"51",-29.5805377234751
"52",-27.6736757740042
"53",-25.6736722134258
"54",-21.9324766042903
"55",-24.2509869175247
"56",-23.669849022753
"57",-24.4873102555023
"58",-27.3185979655599
"59",-26.1194058953245
"60",-24.2977234337382
